source_workbook,source_sheet,source_row,raw_story_id,story_id,cq_id,cq_text_nonempty,hidden_source_row,mapping_method,merged_source_range,full_generation_included,exclusion_reason,missing_gold_only,included_in_gold_evaluable_scope,gold_mapping_method,mapping_status
Dataset.xlsx,CQs,2,,,JAMSCQ1,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,3,,,JAMSCQ2,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,4,,,JAMSCQ3,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,5,,,JAMSCQ4,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,6,,,JAMSCQ5,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,7,,,JAMSCQ6,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,8,,,JAMSCQ7,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,9,,,JAMSCQ8,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,10,,,JAMSCQ9,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,11,,,JAMSCQ10,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,12,,,JAMSCQ11,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,13,,,JAMSCQ12,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,14,,,JAMSCQ13,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,15,,,MPROJCQ1,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,16,,,MPROJCQ2,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,17,,,MPROJCQ3,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,18,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,SOURCECQ1,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,19,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,SOURCECQ2,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,20,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,SOURCECQ4,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,21,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,SOURCECQ5,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,22,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,Paul#2_ResourceReliability;Ortenz#1_MusicAndChildhood,SOURCECQ6,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,23,Sophia#3_Reorchestration,Sophia#3_Reorchestration,MINSTCQ1,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,24,Sophia#3_Reorchestration,Sophia#3_Reorchestration,MINSTCQ2,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,25,Sophia#3_Reorchestration,Sophia#3_Reorchestration,MINSTCQ3,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,26,Sophia#3_Reorchestration,Sophia#3_Reorchestration,MINSTCQ4,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,27,Sophia#3_Reorchestration,Sophia#3_Reorchestration,MINSTCQ5,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,28,Sophia#3_Reorchestration,Sophia#3_Reorchestration,MINSTCQ7,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,29,,,MROCQ1,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,30,,,MROCQ2,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,31,,,MROCQ3,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,32,,,MROCQ4,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,33,,,MROCQ5,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,34,,,MROCQ6,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,35,,,MROCQ7,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,36,,,MROCQ8,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,37,,,MROCQ9,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,38,,,MROCQ10,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,39,,,PCORECQ1,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,40,,,PCORECQ2,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,41,,,PCORECQ3,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,42,,,PCORECQ4,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,43,,,PCORECQ5,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,44,,,PCORECQ6,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,45,,,PCORECQ7,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,46,,,PCORECQ8,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,47,,,PCORECQ9,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,48,,,PCORECQ10,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,49,,,PCORECQ11,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,50,,,PCORECQ12,true,true,unmapped,,false,missing_story_id,false,false,unmapped,missing
Dataset.xlsx,CQs,51,Sage#1_WHOW,Sage#1_WHOW,WHOWHYCQ1,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,52,Sage#1_WHOW,Sage#1_WHOW,WHOWHYCQ4,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,53,,,,false,true,unmapped,,false,empty_cq,false,false,unmapped,missing
Dataset.xlsx,CQs,54,,,,false,true,unmapped,,false,empty_cq,false,false,unmapped,missing
Dataset.xlsx,CQs,55,,,,false,true,unmapped,,false,empty_cq,false,false,unmapped,missing
Dataset.xlsx,CQs,56,,,,false,true,unmapped,,false,empty_cq,false,false,unmapped,missing
Dataset.xlsx,CQs,57,,,,false,true,unmapped,,false,empty_cq,false,false,unmapped,missing
Dataset.xlsx,CQs,58,,,,false,true,unmapped,,false,empty_cq,false,false,unmapped,missing
Dataset.xlsx,CQs,59,3,3,cq2,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,60,5,5,cq4,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,61,2,2,cq6,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,62,6,6,cq7,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,63,1,1,cq8,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,64,5,5,cq9,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,65,3,3,cq11,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,66,4,4,cq12,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,67,11,11,cq13,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,68,12,12,cq14,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,69,5,5,cq15,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,70,14,14,cq17,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,71,15,15,cq19,true,false,normalized_exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,72,16,16,cq20,true,false,normalized_exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,73,16,16,cq21,true,false,normalized_exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,74,12,12,cq22,true,false,normalized_exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,75,FestS,FestS,FestSCQ1,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,76,FestS,FestS,FestSCQ2,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,77,FestS,FestS,FestSCQ3,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,78,FestS,FestS,FestSCQ4,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,79,FestS,FestS,FestSCQ5,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,80,FestS,FestS,FestSCQ6,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,81,FestS,FestS,FestSCQ7,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,82,FestS,FestS,FestSCQ8,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,83,FestS,FestS,FestSCQ9,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,84,FestS,FestS,FestSCQ10,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,85,FestS,FestS,FestSCQ11,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,86,FestS,FestS,FestSCQ12,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,87,FestS,FestS,FestSCQ13,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,88,FestS,FestS,FestSCQ14,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,89,FestS,FestS,FestSCQ15,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,90,MusicS,MusicS,MusicSCQ1,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,91,MusicS,MusicS,MusicSCQ2,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,92,MusicS,MusicS,MusicSCQ3,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,93,MusicS,MusicS,MusicSCQ4,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,94,MusicS,MusicS,MusicSCQ5,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,95,MusicS,MusicS,MusicSCQ6,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,96,MusicS,MusicS,MusicSCQ7,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,97,MusicS,MusicS,MusicSCQ8,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,98,MusicS,MusicS,MusicSCQ9,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,99,MusicS,MusicS,MusicSCQ10,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,100,MusicS,MusicS,MusicSCQ11,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,101,MusicS,MusicS,MusicSCQ12,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,102,MusicS,MusicS,MusicSCQ13,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,103,MusicS,MusicS,MusicSCQ14,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,104,MusicS,MusicS,MusicSCQ15,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,105,HospitalS,HospitalS,HospitalSCQ1,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,106,HospitalS,HospitalS,HospitalSCQ2,true,false,exact_id,,true,,false,true,exact_id,mapped
Dataset.xlsx,CQs,107,HospitalS,HospitalS,HospitalSCQ3,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,108,HospitalS,HospitalS,HospitalSCQ4,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,109,HospitalS,HospitalS,HospitalSCQ5,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,110,HospitalS,HospitalS,HospitalSCQ6,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,111,HospitalS,HospitalS,HospitalSCQ7,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,112,HospitalS,HospitalS,HospitalSCQ8,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,113,HospitalS,HospitalS,HospitalSCQ9,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,114,HospitalS,HospitalS,HospitalSCQ10,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,115,HospitalS,HospitalS,HospitalSCQ11,true,false,exact_id,,true,,true,false,unmapped,missing
Dataset.xlsx,CQs,116,HospitalS,HospitalS,HospitalSCQ12,true,false,exact_id,,true,,true,false,unmapped,missing
